Namespace(data_dir='./data/', output_dir='output/', data_name='Beauty', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='GRU4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=0.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Beauty', item_size=12103, log_file='output/DWS-SASRec-GRU4Rec-Beauty-a1.0-b1.0-l0.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-GRU4Rec-Beauty-a1.0-b1.0-l0.5-dwsb1.0-t0.0-1763920287.6300144.pt')
{'epoch': 0, 'avg_loss': '7.0058', 'avg_bpr_loss': '6.9864', 'avg_kd_loss': '0.0195'}
{'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0017', 'HIT@10': '0.0063', 'NDCG@10': '0.0026', 'HIT@20': '0.0107', 'NDCG@20': '0.0037'}
{'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0029', 'HIT@10': '0.0110', 'NDCG@10': '0.0046', 'HIT@20': '0.0179', 'NDCG@20': '0.0063'}
{'Epoch': 0, 'HIT@5': '0.0040', 'NDCG@5': '0.0018', 'HIT@10': '0.0076', 'NDCG@10': '0.0030', 'HIT@20': '0.0130', 'NDCG@20': '0.0043'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0034', 'NDCG@5': '0.0017', 'HIT@10': '0.0063', 'NDCG@10': '0.0026', 'HIT@20': '0.0107', 'NDCG@20': '0.0037'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0058', 'NDCG@5': '0.0029', 'HIT@10': '0.0110', 'NDCG@10': '0.0046', 'HIT@20': '0.0179', 'NDCG@20': '0.0063'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0040', 'NDCG@5': '0.0018', 'HIT@10': '0.0076', 'NDCG@10': '0.0030', 'HIT@20': '0.0130', 'NDCG@20': '0.0043'}
{'Epoch': 0, 'HIT@5': '0.0089', 'NDCG@5': '0.0042', 'HIT@10': '0.0130', 'NDCG@10': '0.0055', 'HIT@20': '0.0183', 'NDCG@20': '0.0069'}
{'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0030', 'HIT@10': '0.0134', 'NDCG@10': '0.0054', 'HIT@20': '0.0210', 'NDCG@20': '0.0072'}
{'Epoch': 0, 'HIT@5': '0.0076', 'NDCG@5': '0.0038', 'HIT@10': '0.0130', 'NDCG@10': '0.0056', 'HIT@20': '0.0201', 'NDCG@20': '0.0074'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0089', 'NDCG@5': '0.0042', 'HIT@10': '0.0130', 'NDCG@10': '0.0055', 'HIT@20': '0.0183', 'NDCG@20': '0.0069'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0063', 'NDCG@5': '0.0030', 'HIT@10': '0.0134', 'NDCG@10': '0.0054', 'HIT@20': '0.0210', 'NDCG@20': '0.0072'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0076', 'NDCG@5': '0.0038', 'HIT@10': '0.0130', 'NDCG@10': '0.0056', 'HIT@20': '0.0201', 'NDCG@20': '0.0074'}
{'epoch': 1, 'avg_loss': '6.9401', 'avg_bpr_loss': '6.9341', 'avg_kd_loss': '0.0060'}
{'Epoch': 1, 'HIT@5': '0.0042', 'NDCG@5': '0.0030', 'HIT@10': '0.0067', 'NDCG@10': '0.0038', 'HIT@20': '0.0107', 'NDCG@20': '0.0048'}
{'Epoch': 1, 'HIT@5': '0.0063', 'NDCG@5': '0.0044', 'HIT@10': '0.0072', 'NDCG@10': '0.0047', 'HIT@20': '0.0145', 'NDCG@20': '0.0066'}
{'Epoch': 1, 'HIT@5': '0.0058', 'NDCG@5': '0.0043', 'HIT@10': '0.0092', 'NDCG@10': '0.0053', 'HIT@20': '0.0127', 'NDCG@20': '0.0062'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0042', 'NDCG@5': '0.0030', 'HIT@10': '0.0067', 'NDCG@10': '0.0038', 'HIT@20': '0.0107', 'NDCG@20': '0.0048'}
Model 2 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0063', 'NDCG@5': '0.0044', 'HIT@10': '0.0072', 'NDCG@10': '0.0047', 'HIT@20': '0.0145', 'NDCG@20': '0.0066'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0058', 'NDCG@5': '0.0043', 'HIT@10': '0.0092', 'NDCG@10': '0.0053', 'HIT@20': '0.0127', 'NDCG@20': '0.0062'}
{'Epoch': 1, 'HIT@5': '0.0022', 'NDCG@5': '0.0018', 'HIT@10': '0.0036', 'NDCG@10': '0.0022', 'HIT@20': '0.0058', 'NDCG@20': '0.0027'}
{'Epoch': 1, 'HIT@5': '0.0045', 'NDCG@5': '0.0029', 'HIT@10': '0.0063', 'NDCG@10': '0.0034', 'HIT@20': '0.0125', 'NDCG@20': '0.0050'}
{'Epoch': 1, 'HIT@5': '0.0036', 'NDCG@5': '0.0027', 'HIT@10': '0.0063', 'NDCG@10': '0.0035', 'HIT@20': '0.0125', 'NDCG@20': '0.0051'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0022', 'NDCG@5': '0.0018', 'HIT@10': '0.0036', 'NDCG@10': '0.0022', 'HIT@20': '0.0058', 'NDCG@20': '0.0027'}
