Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=2.0, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BPR', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-SASRec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.0-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-Mamba4Rec-Sports_and_Outdoors-a1.0-b1.0-l2.0-dwsb1.0-t0.0-1762810436.9844294.pt')
{'epoch': 0, 'avg_loss': '5.8091', 'avg_bpr_loss': '5.7319', 'avg_kd_loss': '0.0772'}
{'Epoch': 0, 'HIT@5': '0.0025', 'NDCG@5': '0.0014', 'HIT@10': '0.0048', 'NDCG@10': '0.0021', 'HIT@20': '0.0081', 'NDCG@20': '0.0029'}
{'Epoch': 0, 'HIT@5': '0.0059', 'NDCG@5': '0.0039', 'HIT@10': '0.0091', 'NDCG@10': '0.0050', 'HIT@20': '0.0136', 'NDCG@20': '0.0061'}
{'Epoch': 0, 'HIT@5': '0.0042', 'NDCG@5': '0.0024', 'HIT@10': '0.0070', 'NDCG@10': '0.0033', 'HIT@20': '0.0096', 'NDCG@20': '0.0039'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0025', 'NDCG@5': '0.0014', 'HIT@10': '0.0048', 'NDCG@10': '0.0021', 'HIT@20': '0.0081', 'NDCG@20': '0.0029'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0059', 'NDCG@5': '0.0039', 'HIT@10': '0.0091', 'NDCG@10': '0.0050', 'HIT@20': '0.0136', 'NDCG@20': '0.0061'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0042', 'NDCG@5': '0.0024', 'HIT@10': '0.0070', 'NDCG@10': '0.0033', 'HIT@20': '0.0096', 'NDCG@20': '0.0039'}
{'Epoch': 0, 'HIT@5': '0.0006', 'NDCG@5': '0.0006', 'HIT@10': '0.0031', 'NDCG@10': '0.0014', 'HIT@20': '0.0090', 'NDCG@20': '0.0029'}
{'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0027', 'HIT@10': '0.0067', 'NDCG@10': '0.0036', 'HIT@20': '0.0090', 'NDCG@20': '0.0042'}
{'Epoch': 0, 'HIT@5': '0.0025', 'NDCG@5': '0.0018', 'HIT@10': '0.0045', 'NDCG@10': '0.0024', 'HIT@20': '0.0079', 'NDCG@20': '0.0033'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0006', 'NDCG@5': '0.0006', 'HIT@10': '0.0031', 'NDCG@10': '0.0014', 'HIT@20': '0.0090', 'NDCG@20': '0.0029'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0027', 'HIT@10': '0.0067', 'NDCG@10': '0.0036', 'HIT@20': '0.0090', 'NDCG@20': '0.0042'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0025', 'NDCG@5': '0.0018', 'HIT@10': '0.0045', 'NDCG@10': '0.0024', 'HIT@20': '0.0079', 'NDCG@20': '0.0033'}
{'epoch': 1, 'avg_loss': '5.7326', 'avg_bpr_loss': '5.7223', 'avg_kd_loss': '0.0103'}
{'Epoch': 1, 'HIT@5': '0.0037', 'NDCG@5': '0.0025', 'HIT@10': '0.0067', 'NDCG@10': '0.0035', 'HIT@20': '0.0114', 'NDCG@20': '0.0046'}
{'Epoch': 1, 'HIT@5': '0.0063', 'NDCG@5': '0.0041', 'HIT@10': '0.0103', 'NDCG@10': '0.0054', 'HIT@20': '0.0157', 'NDCG@20': '0.0068'}
{'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0032', 'HIT@10': '0.0093', 'NDCG@10': '0.0045', 'HIT@20': '0.0150', 'NDCG@20': '0.0059'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0037', 'NDCG@5': '0.0025', 'HIT@10': '0.0067', 'NDCG@10': '0.0035', 'HIT@20': '0.0114', 'NDCG@20': '0.0046'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0063', 'NDCG@5': '0.0041', 'HIT@10': '0.0103', 'NDCG@10': '0.0054', 'HIT@20': '0.0157', 'NDCG@20': '0.0068'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0055', 'NDCG@5': '0.0032', 'HIT@10': '0.0093', 'NDCG@10': '0.0045', 'HIT@20': '0.0150', 'NDCG@20': '0.0059'}
{'Epoch': 1, 'HIT@5': '0.0048', 'NDCG@5': '0.0031', 'HIT@10': '0.0079', 'NDCG@10': '0.0041', 'HIT@20': '0.0135', 'NDCG@20': '0.0055'}
{'Epoch': 1, 'HIT@5': '0.0051', 'NDCG@5': '0.0035', 'HIT@10': '0.0098', 'NDCG@10': '0.0050', 'HIT@20': '0.0157', 'NDCG@20': '0.0064'}
{'Epoch': 1, 'HIT@5': '0.0053', 'NDCG@5': '0.0034', 'HIT@10': '0.0087', 'NDCG@10': '0.0046', 'HIT@20': '0.0146', 'NDCG@20': '0.0060'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0048', 'NDCG@5': '0.0031', 'HIT@10': '0.0079', 'NDCG@10': '0.0041', 'HIT@20': '0.0135', 'NDCG@20': '0.0055'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0051', 'NDCG@5': '0.0035', 'HIT@10': '0.0098', 'NDCG@10': '0.0050', 'HIT@20': '0.0157', 'NDCG@20': '0.0064'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0053', 'NDCG@5': '0.0034', 'HIT@10': '0.0087', 'NDCG@10': '0.0046', 'HIT@20': '0.0146', 'NDCG@20': '0.0060'}
{'epoch': 2, 'avg_loss': '5.5999', 'avg_bpr_loss': '5.5960', 'avg_kd_loss': '0.0039'}
{'Epoch': 2, 'HIT@5': '0.0063', 'NDCG@5': '0.0046', 'HIT@10': '0.0093', 'NDCG@10': '0.0055', 'HIT@20': '0.0132', 'NDCG@20': '0.0065'}
{'Epoch': 2, 'HIT@5': '0.0088', 'NDCG@5': '0.0062', 'HIT@10': '0.0125', 'NDCG@10': '0.0074', 'HIT@20': '0.0187', 'NDCG@20': '0.0089'}
{'Epoch': 2, 'HIT@5': '0.0079', 'NDCG@5': '0.0057', 'HIT@10': '0.0124', 'NDCG@10': '0.0071', 'HIT@20': '0.0190', 'NDCG@20': '0.0088'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0063', 'NDCG@5': '0.0046', 'HIT@10': '0.0093', 'NDCG@10': '0.0055', 'HIT@20': '0.0132', 'NDCG@20': '0.0065'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0088', 'NDCG@5': '0.0062', 'HIT@10': '0.0125', 'NDCG@10': '0.0074', 'HIT@20': '0.0187', 'NDCG@20': '0.0089'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0079', 'NDCG@5': '0.0057', 'HIT@10': '0.0124', 'NDCG@10': '0.0071', 'HIT@20': '0.0190', 'NDCG@20': '0.0088'}
{'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0039', 'HIT@10': '0.0093', 'NDCG@10': '0.0050', 'HIT@20': '0.0140', 'NDCG@20': '0.0062'}
{'Epoch': 2, 'HIT@5': '0.0067', 'NDCG@5': '0.0047', 'HIT@10': '0.0104', 'NDCG@10': '0.0058', 'HIT@20': '0.0157', 'NDCG@20': '0.0072'}
{'Epoch': 2, 'HIT@5': '0.0076', 'NDCG@5': '0.0045', 'HIT@10': '0.0107', 'NDCG@10': '0.0055', 'HIT@20': '0.0171', 'NDCG@20': '0.0072'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0059', 'NDCG@5': '0.0039', 'HIT@10': '0.0093', 'NDCG@10': '0.0050', 'HIT@20': '0.0140', 'NDCG@20': '0.0062'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0067', 'NDCG@5': '0.0047', 'HIT@10': '0.0104', 'NDCG@10': '0.0058', 'HIT@20': '0.0157', 'NDCG@20': '0.0072'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0076', 'NDCG@5': '0.0045', 'HIT@10': '0.0107', 'NDCG@10': '0.0055', 'HIT@20': '0.0171', 'NDCG@20': '0.0072'}
{'epoch': 3, 'avg_loss': '5.4937', 'avg_bpr_loss': '5.4862', 'avg_kd_loss': '0.0075'}
{'Epoch': 3, 'HIT@5': '0.0104', 'NDCG@5': '0.0077', 'HIT@10': '0.0142', 'NDCG@10': '0.0089', 'HIT@20': '0.0208', 'NDCG@20': '0.0106'}
{'Epoch': 3, 'HIT@5': '0.0126', 'NDCG@5': '0.0089', 'HIT@10': '0.0174', 'NDCG@10': '0.0104', 'HIT@20': '0.0229', 'NDCG@20': '0.0118'}
{'Epoch': 3, 'HIT@5': '0.0146', 'NDCG@5': '0.0100', 'HIT@10': '0.0208', 'NDCG@10': '0.0120', 'HIT@20': '0.0289', 'NDCG@20': '0.0140'}
