Namespace(data_dir='./data/', output_dir='output/', data_name='Sports_and_Outdoors', do_eval=False, ckp=0, hidden_size=64, embedding_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='GRU4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=1.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Sports_and_Outdoors', item_size=18359, log_file='output/DWS-SASRec-GRU4Rec-Sports_and_Outdoors-a1.0-b1.0-l1.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-GRU4Rec-Sports_and_Outdoors-a1.0-b1.0-l1.5-dwsb1.0-t0.0-1764026796.611733.pt')
{'epoch': 0, 'avg_loss': '9.8266', 'avg_bpr_loss': '9.8111', 'avg_kd_loss': '0.0156'}
{'Epoch': 0, 'HIT@5': '0.0041', 'NDCG@5': '0.0028', 'HIT@10': '0.0073', 'NDCG@10': '0.0038', 'HIT@20': '0.0117', 'NDCG@20': '0.0049'}
{'Epoch': 0, 'HIT@5': '0.0042', 'NDCG@5': '0.0031', 'HIT@10': '0.0074', 'NDCG@10': '0.0041', 'HIT@20': '0.0111', 'NDCG@20': '0.0050'}
{'Epoch': 0, 'HIT@5': '0.0055', 'NDCG@5': '0.0036', 'HIT@10': '0.0076', 'NDCG@10': '0.0042', 'HIT@20': '0.0118', 'NDCG@20': '0.0053'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0041', 'NDCG@5': '0.0028', 'HIT@10': '0.0073', 'NDCG@10': '0.0038', 'HIT@20': '0.0117', 'NDCG@20': '0.0049'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0042', 'NDCG@5': '0.0031', 'HIT@10': '0.0074', 'NDCG@10': '0.0041', 'HIT@20': '0.0111', 'NDCG@20': '0.0050'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0055', 'NDCG@5': '0.0036', 'HIT@10': '0.0076', 'NDCG@10': '0.0042', 'HIT@20': '0.0118', 'NDCG@20': '0.0053'}
{'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0027', 'HIT@10': '0.0059', 'NDCG@10': '0.0034', 'HIT@20': '0.0093', 'NDCG@20': '0.0042'}
{'Epoch': 0, 'HIT@5': '0.0051', 'NDCG@5': '0.0035', 'HIT@10': '0.0107', 'NDCG@10': '0.0054', 'HIT@20': '0.0140', 'NDCG@20': '0.0062'}
{'Epoch': 0, 'HIT@5': '0.0053', 'NDCG@5': '0.0035', 'HIT@10': '0.0073', 'NDCG@10': '0.0041', 'HIT@20': '0.0126', 'NDCG@20': '0.0055'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0037', 'NDCG@5': '0.0027', 'HIT@10': '0.0059', 'NDCG@10': '0.0034', 'HIT@20': '0.0093', 'NDCG@20': '0.0042'}
Model 2 (GRU4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0051', 'NDCG@5': '0.0035', 'HIT@10': '0.0107', 'NDCG@10': '0.0054', 'HIT@20': '0.0140', 'NDCG@20': '0.0062'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0053', 'NDCG@5': '0.0035', 'HIT@10': '0.0073', 'NDCG@10': '0.0041', 'HIT@20': '0.0126', 'NDCG@20': '0.0055'}
{'epoch': 1, 'avg_loss': '9.7246', 'avg_bpr_loss': '9.7210', 'avg_kd_loss': '0.0036'}
{'Epoch': 1, 'HIT@5': '0.0060', 'NDCG@5': '0.0041', 'HIT@10': '0.0086', 'NDCG@10': '0.0049', 'HIT@20': '0.0110', 'NDCG@20': '0.0055'}
{'Epoch': 1, 'HIT@5': '0.0046', 'NDCG@5': '0.0033', 'HIT@10': '0.0077', 'NDCG@10': '0.0043', 'HIT@20': '0.0139', 'NDCG@20': '0.0059'}
{'Epoch': 1, 'HIT@5': '0.0046', 'NDCG@5': '0.0033', 'HIT@10': '0.0090', 'NDCG@10': '0.0047', 'HIT@20': '0.0119', 'NDCG@20': '0.0054'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0060', 'NDCG@5': '0.0041', 'HIT@10': '0.0086', 'NDCG@10': '0.0049', 'HIT@20': '0.0110', 'NDCG@20': '0.0055'}
Model 2 (GRU4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0046', 'NDCG@5': '0.0033', 'HIT@10': '0.0077', 'NDCG@10': '0.0043', 'HIT@20': '0.0139', 'NDCG@20': '0.0059'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0046', 'NDCG@5': '0.0033', 'HIT@10': '0.0090', 'NDCG@10': '0.0047', 'HIT@20': '0.0119', 'NDCG@20': '0.0054'}
{'Epoch': 1, 'HIT@5': '0.0034', 'NDCG@5': '0.0020', 'HIT@10': '0.0056', 'NDCG@10': '0.0027', 'HIT@20': '0.0104', 'NDCG@20': '0.0039'}
