Namespace(data_dir='./data/', output_dir='output/', data_name='Health', do_eval=False, ckp=0, hidden_size=64, num_hidden_layers=2, num_attention_heads=2, hidden_act='gelu', attention_probs_dropout_prob=0.5, hidden_dropout_prob=0.5, initializer_range=0.02, max_seq_length=50, backbone='SASRec', backbone2='Mamba4Rec', K_hns=1, alpha=1.0, beta=1.0, d_lambda=1.5, dws_beta=1.0, kd_temperature=0.7, temperature=0.0, kd_gamma=0.01, d_state=16, d_conv=4, expand=2, lr=0.001, batch_size=1024, epochs=300, no_cuda=False, log_freq=1, seed=42, weight_decay=0, adam_beta1=0.9, adam_beta2=0.999, gpu_id='0', neg_sampler='DNS', loss_type='BCE', N=100, cuda_condition=True, data_file='./data/Health', item_size=18536, log_file='output/DWS-SASRec-Mamba4Rec-Health-a1.0-b1.0-l1.5-dwsb1.0-t0.0.txt', checkpoint_path='output/DWS-SASRec-Mamba4Rec-Health-a1.0-b1.0-l1.5-dwsb1.0-t0.0-1762014981.9516377.pt')
{'epoch': 0, 'avg_loss': '9.9204', 'avg_bpr_loss': '9.8627', 'avg_kd_loss': '0.0578'}
{'Epoch': 0, 'HIT@5': '0.0085', 'NDCG@5': '0.0064', 'HIT@10': '0.0124', 'NDCG@10': '0.0076', 'HIT@20': '0.0174', 'NDCG@20': '0.0088'}
{'Epoch': 0, 'HIT@5': '0.0148', 'NDCG@5': '0.0113', 'HIT@10': '0.0187', 'NDCG@10': '0.0126', 'HIT@20': '0.0277', 'NDCG@20': '0.0148'}
{'Epoch': 0, 'HIT@5': '0.0158', 'NDCG@5': '0.0117', 'HIT@10': '0.0199', 'NDCG@10': '0.0131', 'HIT@20': '0.0277', 'NDCG@20': '0.0150'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0085', 'NDCG@5': '0.0064', 'HIT@10': '0.0124', 'NDCG@10': '0.0076', 'HIT@20': '0.0174', 'NDCG@20': '0.0088'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0148', 'NDCG@5': '0.0113', 'HIT@10': '0.0187', 'NDCG@10': '0.0126', 'HIT@20': '0.0277', 'NDCG@20': '0.0148'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0158', 'NDCG@5': '0.0117', 'HIT@10': '0.0199', 'NDCG@10': '0.0131', 'HIT@20': '0.0277', 'NDCG@20': '0.0150'}
{'Epoch': 0, 'HIT@5': '0.0104', 'NDCG@5': '0.0086', 'HIT@10': '0.0124', 'NDCG@10': '0.0092', 'HIT@20': '0.0173', 'NDCG@20': '0.0104'}
{'Epoch': 0, 'HIT@5': '0.0145', 'NDCG@5': '0.0111', 'HIT@10': '0.0186', 'NDCG@10': '0.0124', 'HIT@20': '0.0243', 'NDCG@20': '0.0138'}
{'Epoch': 0, 'HIT@5': '0.0148', 'NDCG@5': '0.0118', 'HIT@10': '0.0179', 'NDCG@10': '0.0127', 'HIT@20': '0.0243', 'NDCG@20': '0.0144'}
Model 1 (SASRec) Results: {'Epoch': 0, 'HIT@5': '0.0104', 'NDCG@5': '0.0086', 'HIT@10': '0.0124', 'NDCG@10': '0.0092', 'HIT@20': '0.0173', 'NDCG@20': '0.0104'}
Model 2 (Mamba4Rec) Results: {'Epoch': 0, 'HIT@5': '0.0145', 'NDCG@5': '0.0111', 'HIT@10': '0.0186', 'NDCG@10': '0.0124', 'HIT@20': '0.0243', 'NDCG@20': '0.0138'}
Ensemble Results: {'Epoch': 0, 'HIT@5': '0.0148', 'NDCG@5': '0.0118', 'HIT@10': '0.0179', 'NDCG@10': '0.0127', 'HIT@20': '0.0243', 'NDCG@20': '0.0144'}
{'epoch': 1, 'avg_loss': '9.7741', 'avg_bpr_loss': '9.7660', 'avg_kd_loss': '0.0081'}
{'Epoch': 1, 'HIT@5': '0.0155', 'NDCG@5': '0.0118', 'HIT@10': '0.0228', 'NDCG@10': '0.0141', 'HIT@20': '0.0311', 'NDCG@20': '0.0161'}
{'Epoch': 1, 'HIT@5': '0.0223', 'NDCG@5': '0.0160', 'HIT@10': '0.0337', 'NDCG@10': '0.0196', 'HIT@20': '0.0469', 'NDCG@20': '0.0229'}
{'Epoch': 1, 'HIT@5': '0.0228', 'NDCG@5': '0.0165', 'HIT@10': '0.0337', 'NDCG@10': '0.0200', 'HIT@20': '0.0474', 'NDCG@20': '0.0235'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0155', 'NDCG@5': '0.0118', 'HIT@10': '0.0228', 'NDCG@10': '0.0141', 'HIT@20': '0.0311', 'NDCG@20': '0.0161'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0223', 'NDCG@5': '0.0160', 'HIT@10': '0.0337', 'NDCG@10': '0.0196', 'HIT@20': '0.0469', 'NDCG@20': '0.0229'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0228', 'NDCG@5': '0.0165', 'HIT@10': '0.0337', 'NDCG@10': '0.0200', 'HIT@20': '0.0474', 'NDCG@20': '0.0235'}
{'Epoch': 1, 'HIT@5': '0.0168', 'NDCG@5': '0.0129', 'HIT@10': '0.0225', 'NDCG@10': '0.0147', 'HIT@20': '0.0308', 'NDCG@20': '0.0168'}
{'Epoch': 1, 'HIT@5': '0.0269', 'NDCG@5': '0.0194', 'HIT@10': '0.0360', 'NDCG@10': '0.0223', 'HIT@20': '0.0487', 'NDCG@20': '0.0256'}
{'Epoch': 1, 'HIT@5': '0.0256', 'NDCG@5': '0.0189', 'HIT@10': '0.0368', 'NDCG@10': '0.0225', 'HIT@20': '0.0508', 'NDCG@20': '0.0259'}
Model 1 (SASRec) Results: {'Epoch': 1, 'HIT@5': '0.0168', 'NDCG@5': '0.0129', 'HIT@10': '0.0225', 'NDCG@10': '0.0147', 'HIT@20': '0.0308', 'NDCG@20': '0.0168'}
Model 2 (Mamba4Rec) Results: {'Epoch': 1, 'HIT@5': '0.0269', 'NDCG@5': '0.0194', 'HIT@10': '0.0360', 'NDCG@10': '0.0223', 'HIT@20': '0.0487', 'NDCG@20': '0.0256'}
Ensemble Results: {'Epoch': 1, 'HIT@5': '0.0256', 'NDCG@5': '0.0189', 'HIT@10': '0.0368', 'NDCG@10': '0.0225', 'HIT@20': '0.0508', 'NDCG@20': '0.0259'}
{'epoch': 2, 'avg_loss': '9.6735', 'avg_bpr_loss': '9.6630', 'avg_kd_loss': '0.0105'}
{'Epoch': 2, 'HIT@5': '0.0220', 'NDCG@5': '0.0164', 'HIT@10': '0.0324', 'NDCG@10': '0.0198', 'HIT@20': '0.0409', 'NDCG@20': '0.0220'}
{'Epoch': 2, 'HIT@5': '0.0228', 'NDCG@5': '0.0167', 'HIT@10': '0.0381', 'NDCG@10': '0.0216', 'HIT@20': '0.0565', 'NDCG@20': '0.0263'}
{'Epoch': 2, 'HIT@5': '0.0282', 'NDCG@5': '0.0205', 'HIT@10': '0.0417', 'NDCG@10': '0.0248', 'HIT@20': '0.0588', 'NDCG@20': '0.0292'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0220', 'NDCG@5': '0.0164', 'HIT@10': '0.0324', 'NDCG@10': '0.0198', 'HIT@20': '0.0409', 'NDCG@20': '0.0220'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0228', 'NDCG@5': '0.0167', 'HIT@10': '0.0381', 'NDCG@10': '0.0216', 'HIT@20': '0.0565', 'NDCG@20': '0.0263'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0282', 'NDCG@5': '0.0205', 'HIT@10': '0.0417', 'NDCG@10': '0.0248', 'HIT@20': '0.0588', 'NDCG@20': '0.0292'}
{'Epoch': 2, 'HIT@5': '0.0230', 'NDCG@5': '0.0173', 'HIT@10': '0.0313', 'NDCG@10': '0.0200', 'HIT@20': '0.0435', 'NDCG@20': '0.0231'}
{'Epoch': 2, 'HIT@5': '0.0313', 'NDCG@5': '0.0227', 'HIT@10': '0.0445', 'NDCG@10': '0.0270', 'HIT@20': '0.0653', 'NDCG@20': '0.0322'}
{'Epoch': 2, 'HIT@5': '0.0383', 'NDCG@5': '0.0266', 'HIT@10': '0.0515', 'NDCG@10': '0.0308', 'HIT@20': '0.0694', 'NDCG@20': '0.0353'}
Model 1 (SASRec) Results: {'Epoch': 2, 'HIT@5': '0.0230', 'NDCG@5': '0.0173', 'HIT@10': '0.0313', 'NDCG@10': '0.0200', 'HIT@20': '0.0435', 'NDCG@20': '0.0231'}
Model 2 (Mamba4Rec) Results: {'Epoch': 2, 'HIT@5': '0.0313', 'NDCG@5': '0.0227', 'HIT@10': '0.0445', 'NDCG@10': '0.0270', 'HIT@20': '0.0653', 'NDCG@20': '0.0322'}
Ensemble Results: {'Epoch': 2, 'HIT@5': '0.0383', 'NDCG@5': '0.0266', 'HIT@10': '0.0515', 'NDCG@10': '0.0308', 'HIT@20': '0.0694', 'NDCG@20': '0.0353'}
{'epoch': 3, 'avg_loss': '9.6082', 'avg_bpr_loss': '9.5927', 'avg_kd_loss': '0.0156'}
{'Epoch': 3, 'HIT@5': '0.0324', 'NDCG@5': '0.0224', 'HIT@10': '0.0474', 'NDCG@10': '0.0273', 'HIT@20': '0.0661', 'NDCG@20': '0.0320'}
{'Epoch': 3, 'HIT@5': '0.0337', 'NDCG@5': '0.0243', 'HIT@10': '0.0456', 'NDCG@10': '0.0280', 'HIT@20': '0.0632', 'NDCG@20': '0.0325'}
{'Epoch': 3, 'HIT@5': '0.0355', 'NDCG@5': '0.0255', 'HIT@10': '0.0510', 'NDCG@10': '0.0305', 'HIT@20': '0.0702', 'NDCG@20': '0.0354'}
Model 1 (SASRec) Results: {'Epoch': 3, 'HIT@5': '0.0324', 'NDCG@5': '0.0224', 'HIT@10': '0.0474', 'NDCG@10': '0.0273', 'HIT@20': '0.0661', 'NDCG@20': '0.0320'}
Model 2 (Mamba4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0337', 'NDCG@5': '0.0243', 'HIT@10': '0.0456', 'NDCG@10': '0.0280', 'HIT@20': '0.0632', 'NDCG@20': '0.0325'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0355', 'NDCG@5': '0.0255', 'HIT@10': '0.0510', 'NDCG@10': '0.0305', 'HIT@20': '0.0702', 'NDCG@20': '0.0354'}
{'Epoch': 3, 'HIT@5': '0.0363', 'NDCG@5': '0.0264', 'HIT@10': '0.0515', 'NDCG@10': '0.0314', 'HIT@20': '0.0684', 'NDCG@20': '0.0356'}
{'Epoch': 3, 'HIT@5': '0.0386', 'NDCG@5': '0.0280', 'HIT@10': '0.0520', 'NDCG@10': '0.0323', 'HIT@20': '0.0702', 'NDCG@20': '0.0369'}
{'Epoch': 3, 'HIT@5': '0.0419', 'NDCG@5': '0.0300', 'HIT@10': '0.0570', 'NDCG@10': '0.0348', 'HIT@20': '0.0787', 'NDCG@20': '0.0403'}
Model 1 (SASRec) Results: {'Epoch': 3, 'HIT@5': '0.0363', 'NDCG@5': '0.0264', 'HIT@10': '0.0515', 'NDCG@10': '0.0314', 'HIT@20': '0.0684', 'NDCG@20': '0.0356'}
Model 2 (Mamba4Rec) Results: {'Epoch': 3, 'HIT@5': '0.0386', 'NDCG@5': '0.0280', 'HIT@10': '0.0520', 'NDCG@10': '0.0323', 'HIT@20': '0.0702', 'NDCG@20': '0.0369'}
Ensemble Results: {'Epoch': 3, 'HIT@5': '0.0419', 'NDCG@5': '0.0300', 'HIT@10': '0.0570', 'NDCG@10': '0.0348', 'HIT@20': '0.0787', 'NDCG@20': '0.0403'}
{'epoch': 4, 'avg_loss': '9.5557', 'avg_bpr_loss': '9.5363', 'avg_kd_loss': '0.0194'}
